Sobrenome,Nome_Consistente,Sobrenome_Consistente,Nome_Completo_Consistente
Kaliaha,True,True,True
Frenzel,True,True,True
Cienfuegos,True,True,True
Yatlav,True,True,True
Yatlav,True,True,True
Binns,True,True,True
Adiyaman,True,True,True
Miceli,True,True,True
Pinto,False,True,False
Pinto,False,True,False
D,True,True,True
Rezvani,True,True,True
Harman,True,True,True
Rodríguez Martínez Phd,False,False,False
Ricard,True,True,True
Limanówka-Kuciel,True,True,True
Aït Bachir,True,False,False
Zielonka-Majka,False,True,False
Platon,True,True,True
Platon,True,True,True
Platon,True,True,True
Jacquin PhD,False,False,False
Littlefair,True,True,True
R,True,False,False
R,True,False,False
Gracia,True,True,True
Gracia,True,True,True
Navikiene,True,True,True
Navikiene,True,True,True
Matthews,True,True,True
Dufour,False,False,False
Masiak,True,True,True
Masiak,True,True,True
Masiak,True,True,True
Markiewicz,True,True,True
Ziegler,True,True,True
Ziegler,True,True,True
Darnell,True,True,True
Williams,True,True,True
Lotta,True,True,True
Wüst,True,True,True
Wüst,True,True,True
Barbosa,True,True,True
Barbosa,True,True,True
Bar-Or,True,True,True
Bar-Or,True,True,True
Bar-Or,True,True,True
Mukherjee,False,False,False
Mukherjee,False,False,False
Wogan,True,True,True
Pehnelt,True,True,True
Ferreira,False,False,False
Pereira,False,False,True
Smith,True,True,True
Smith,True,True,True
Smith,True,True,True
Smith,True,True,True
Smith,True,True,True
Smith,True,True,True
Smith,True,True,True
Staudigl,True,True,True
Staudigl,True,True,True
Neitzel,True,False,False
Chen,True,True,True
Dyk,False,True,False
Bock,True,True,True
Mindren,True,False,False
Heinrich,True,True,True
Barthollet,True,True,True
Benabdallah,True,False,False
Bianchi,True,True,True
Bianchi,True,True,True
Hanfstengl,True,True,True
Thas-Pinot,True,True,True
Coppens,True,True,True
Grassi,True,True,True
Codaccioni,True,True,True
Diez Burillo,True,True,True
Diez Burillo,True,True,True
Diez Burillo,True,True,True
Diez Burillo,True,True,True
Diez Burillo,True,True,True
Weber,True,True,True
Weber,True,True,True
F,True,False,False
Winkler,True,True,True
Winkler,True,True,True
Sumner,True,True,True
Sumner,True,True,True
Korichi,True,True,True
Cooke,True,True,True
Cooke,True,True,True
Park,True,True,True
Legrand,True,False,False
Legrand,True,False,False
Legrand,True,False,False
Vegas Dufour,True,True,True
Imiolczyk Mba,True,False,False
Ergül,True,True,True
Peebles,True,True,True
Peebles,True,True,True
Czaplicka,True,True,True
Davis,True,True,True
Davis,True,True,True
Davis,True,True,True
Davis,True,True,True
Oschatz,True,True,True
Oschatz,True,True,True
Porté,True,True,True
Ruet,True,True,True
Ruet,True,True,True
Gaillard,True,False,False
Din,True,True,True
Till,True,True,True
Lenza,False,True,False
Bromberg,True,True,True
Bromberg,True,True,True
Utermark,True,True,True
Utermark,True,True,True
Hull,True,True,True
Ulbrich,True,True,True
Hundhammer,False,False,False
Sallo,True,True,True
Sallo,True,True,True
Sallo,True,True,True
Rebenich,True,True,True
VE,True,False,False
VE,True,False,False
Claassen,True,True,True
van Hooydonk,True,True,True
Hibbert,True,True,True
Gotsch,True,False,False
Matysiak,True,True,True
Varlemann,True,True,True
Leib,True,True,True
Leib,True,True,True
Macig,False,False,False
Macig,False,False,False
T,True,False,False
Baylan,True,True,True
Baylan,True,True,True
Baylan,True,True,True
Baylan,True,True,True
Baylan,True,True,True
Williams,True,True,True
Rosenbaum,True,True,True
Toro Fernández,False,False,False
Carnet,True,False,False
Ait Rayd,False,False,False
Bautista Baltazar,True,True,True
Peralta Martín-Palomino,True,True,True
Terrasa,True,True,True
Wittmann,True,True,True
Elhawary,True,True,True
Moll,True,True,True
Moll,True,True,True
González I Fernández,True,False,False
González I Fernández,True,False,False
González I Fernández,True,False,False
Treszczyski,False,False,False
Grade dos Santos,True,True,True
Sebastiao,True,True,True
Di Chiara,True,True,True
D'Hollander,True,True,True
D'Hollander,True,True,True
Zöller,True,True,True
Zöller,True,True,True
Zöller,True,True,True
Wright,True,True,True
Fischer,True,True,True
Fischer,True,True,True
Ricard,True,True,True
Ricard,True,True,True
Belau,True,True,True
Kaaden,True,True,True
Kaaden,True,True,True
Vannier,True,True,True
Petrassi,True,True,True
W,True,False,False
Tahtahi,True,True,True
Fox,True,True,True
Kalinowski,True,True,True
Vion,True,True,True
Santini Díaz,False,False,True
Durand,True,True,True
Bains,True,True,True
Rudman,True,True,True
G,True,False,False
Lux,True,True,True
Gruhlke,True,True,True
Miljkovik,True,True,True
Miljkovik,True,True,True
Lawless,True,True,True
Thoben,True,True,True
Durrani,True,True,True
Durrani,True,True,True
Lemiesz,True,True,True
Lemiesz,True,True,True
Stock,True,True,True
Stock,True,True,True
Klement,True,True,True
Klement,True,True,True
Whelan,True,True,True
Gruber,True,True,True
Jasevicius,True,True,True
Jasevicius,True,True,True
Kuhn,True,True,True
Eymann,True,True,True
Eymann,True,True,True
Hagelberg,True,True,True
Hagelberg,True,True,True
Hagelberg,True,True,True
Nischwitz,True,True,True
Nischwitz,True,True,True
Nischwitz,True,True,True
Hochnadel,True,True,True
Szkudlarek,True,True,True
Szkudlarek,True,True,True
Deger,True,True,True
Gracia,True,True,True
Gracia,True,True,True
Wisniewski,True,True,True
Wisniewski,True,True,True
Gloger,True,True,True
Tang,True,True,True
Sarmaputra,True,True,True
Sarmaputra,True,True,True
Mereste,True,True,True
Gbarowski,True,False,False
Schmidt,True,True,True
Grosbois,True,True,True
Grosbois,True,True,True
Grosbois,True,True,True
Schautz,True,True,True
Schautz,True,True,True
Schautz,True,True,True
Schautz,True,True,True
Schautz,True,True,True
Schütze,True,True,True
Rotstock,True,True,True
Köksal,True,True,True
Köksal,True,True,True
Bilder,True,True,True
N,True,False,False
R,True,False,False
Dempsey,True,True,True
Dempsey,True,True,True
Wichmann,True,True,True
Schneider-Nissen,True,True,True
Yeilyurt,True,False,False
Salo,True,True,True
H,True,False,False
Schkade,True,True,True
Clement  Capgemini,True,False,False
Llewellyn,True,True,True
Woch-Dufros,True,True,True
K Csm,False,False,False
El Gazi,True,True,True
F,True,False,False
Eke,True,True,True
Dziklinski,True,True,True
Müller,True,True,True
Hall,True,True,True
Jesbac,True,True,True
Chami,True,True,True
Cass,True,True,True
Oruzbaeva,True,True,True
Brania,True,True,True
Sprünger,True,True,True
Nuon,True,False,False
Nodet,True,True,True
Muller,True,True,True
Bauco,True,True,True
Gazeau,True,True,True
Narkus,True,True,True
Couderc,True,True,True
B,True,False,False
Kharchafi,True,True,True
Brooks,True,True,True
B,True,False,False
Lombardero,True,True,True
Ismail,True,True,True
L,True,False,False
A,True,False,False
Mahood,True,True,True
E,True,False,False
Pallasch,True,True,True
Chacko Alanickal,True,True,True
Mohan,True,True,True
Pradhan,True,True,True
Chowdhury,True,True,True
Rajoli,True,True,True
Pawar,False,False,False
Robin,True,True,True
Wheeler,True,True,True
Hermanns,True,True,True
Hermanns,True,True,True
Zielinska,True,True,True
Iftikhar Blogs,True,False,False
Fernández Jardón,True,True,True
Said Ali,True,True,True
Martin,True,True,True
Watkins,True,True,True
Atchinson,True,True,True
Delocco,True,True,True
Gambrel-Lenarz,True,True,True
Gambrel-Lenarz,True,True,True
H,True,False,False
Coissac-Weber,True,True,True
K,True,False,False
Houcque,True,True,True
Afanasev,True,True,True
Reddy,True,True,True
Audrey,True,True,True
Murzyna,True,True,True
Götsch,True,True,True
Fudge,True,True,True
Palmier Gonzi,True,True,True
Gomes-Silva,True,True,True
Pers,True,True,True
R,True,False,False
Lerouvillois,True,False,False
do Nascimento,True,False,False
Felske,True,True,True
V,True,False,False
Bouakil,True,True,True
Mtetwa,False,False,False
Inci,True,True,True
Kurdyukov,True,True,True
Lievens,True,True,True
Baguet,True,True,True
Dikba,True,False,False
Elipe,True,True,True
Maillot,True,True,True
Maillot,True,True,True
Bernard,True,True,True
Bernard,True,True,True
Mainguy,True,True,True
Mainguy,True,True,True
P,True,False,False
Conrad,True,True,True
Peszke-Bieko,True,False,False
Peszke-Bieko,True,False,False
Peszke-Bieko,True,False,False
Beggino,True,True,True
Manshardt,True,True,True
Schmid-Denzinger,True,True,True
Nowak,False,False,False
G,True,False,False
Okuyedi,True,False,False
Darbyshire,True,True,True
Bitzinger,True,True,True
Bitzinger,True,True,True
Bitzinger,True,True,True
Bitzinger,True,True,True
Askari,True,True,True
Ayoub,True,True,True
Göbel,True,True,True
Stölken,False,False,False
Kowalczyk,True,True,True
Kowalczyk,True,True,True
S,True,False,False
S,True,False,False
Röhner,True,True,True
Kielmann,True,True,True
Kielmann,True,True,True
Schumann,True,True,True
El-Mahdy,True,True,True
Yoon,False,False,False
Garcia,True,True,True
Mendibil Fernández,True,True,True
Santana,True,True,True
Güntner,True,True,True
O'Doherty,True,True,True
Sipavicius,True,True,True
Sipavicius,True,True,True
Hargraves,True,True,True
Sahai,True,True,True
de Souza,True,True,True
F,True,False,False
F,True,False,False
Cruto,True,True,True
Vasile,True,True,True
Vasile,True,True,True
Hainaut,True,True,True
Alani,True,True,True
van Hecke,True,False,False
Rudi,True,True,True
Baum,True,True,True
Mackey Lcoi Cdpo,True,False,False
Stawczyk Assoc Cipd,True,False,False
Deniau Ramoneda,True,False,False
Jhankur,True,True,True
Göpel,True,True,True
Wienberg,True,True,True
Oliver,True,True,True
Roosimägi,True,True,True
Mills,True,True,True
F,True,False,False
Maciua,True,False,False
T,True,True,True
Goodman,True,True,True
Reimann,True,True,True
Reimann,True,True,True
Reimann,True,True,True
Haub,True,True,True
Haub,True,True,True
Haub,True,True,True
Harris Miet,True,False,False
Coomber,True,True,True
Mediatrice,True,True,True
Amri,True,False,False
Hors,True,True,True
Jiménez Coronel,True,True,True
Gaelle,True,True,True
Thornton,True,True,True
Savu,True,True,True
Dolhain,True,False,False
Fenner,True,True,True
Somankova,True,True,True
Somankova,True,True,True
T,True,False,False
Sunjic,True,True,True
Gilbert,True,True,True
Vayani,True,True,True
Tunstall,True,True,True
Wójcicki,True,True,True
Kennedy,True,True,True
Tonak,True,True,True
Kumar,True,True,True
Mitchell,True,True,True
B,True,False,False
Vollath,True,True,True
Bachl,True,True,True
Mahfoudi,False,False,True
Kassar,True,False,False
Kassar,True,False,False
Mohameden,True,False,False
Sacko,True,True,True
Couraud,True,True,True
Miklic,True,False,False
Ameur,True,False,False
Ameur,True,False,False
Grenier,True,True,True
Switon,True,True,True
Kaden,True,True,True
Khiali,False,False,False
Karst,True,True,True
Werner,False,False,False
Zijal,True,True,True
Viana Oliveira,True,True,True
Raumer,True,True,True
Neu,True,True,True
Neu,True,True,True
Zech,True,True,True
Claassen,True,True,True
Simon,True,True,True
K,True,False,False
Orlov,True,True,True
Ferrey,True,True,True
Vizcarra Celiz,False,False,True
S,True,False,False
Blettgen,True,True,True
Beeton,True,True,True
Grzegorzewski,True,True,True
Dubois,False,False,False
Stolyarov,True,True,True
Neitzel,False,False,False
Hogg,True,True,True
Tobolski,True,True,True
Chung,False,False,True
V,True,False,False
Mazuelos Marín,True,True,True
Roldan Jimenez,True,True,True
Djidjelli,False,False,False
T,True,False,False
Shechter,False,False,False
Boivert,True,True,True
P,True,False,False
Aruliah,True,True,True
Chandan,True,True,True
Nünning,True,True,True
Overbeck,True,True,True
Ed,True,True,True
Rodrigues Biazon,True,True,True
Nicholson,True,True,True
Walk,True,True,True
Peña Ca,True,False,False
P,True,False,False
L,True,False,False
L,True,False,False
Kirk,True,True,True
Ragas,True,True,True
Burberg,True,True,True
Bayha,True,True,True
Kulish,True,True,True
Kulish,True,True,True
Kulish,True,True,True
Bowman,True,True,True
Serebriakov,True,True,True
Schwarz,True,True,True
Roßdeutscher,True,True,True
Ahmed,True,True,True
Yaici,True,False,False
Ristau,True,True,True
Steinert,True,True,True
Eckert,True,True,True
Perdido,True,True,True
Beck,True,True,True
Charvy,True,False,False
Dahmer,True,True,True
de Abreu,True,False,False
R,True,False,False
Seeber,True,True,True
Suberg,True,True,True
Harris,True,True,True
M,False,False,False
Gomes,True,True,True
Fernandez,True,True,True
Bachelier,True,True,True
Patni Sadasukhi,True,True,True
Crisp,True,True,True
,False,False,True
Hutter,True,True,True
Mistry,True,True,True
Brünker,True,True,True
Hümsch,True,True,True
Fluchs,True,True,True
Fluchs,True,True,True
Ducouret,True,True,True
de Cadoudal,True,True,True
Rybak,True,True,True
Powell,True,True,True
Ben A,True,False,False
Matysiak,True,True,True
Chaplin,True,True,True
Wojtowicz,True,True,True
Kalender,False,False,False
Oribe Sánchez,False,False,True
Häberle,True,True,True
Häberle,True,True,True
Nottelet,True,True,True
S,True,False,False
Haag,True,True,True
A,True,False,False
Hansford,True,True,True
P,True,False,False
Pakalnickas,False,False,False
Ribeiro,True,True,True
Jentsch,True,True,True
Karl,True,True,True
Heutger,True,True,True
Heutger,True,True,True
Kahnt,True,True,True
Pilgrim,True,True,True
Pasques,True,True,True
Spitschak,True,True,True
Haddag,True,False,False
Requena,True,True,True
Forgács,True,True,True
Fauter,True,True,True
El Bonne,True,True,True
Roche,True,False,False
Wickremasinghe,True,True,True
Laureano,False,False,True
Cubero Artero,True,True,True
Bentley,True,True,True
Fernandes,True,True,True
Rana,True,True,True
S,True,False,False
Tostmann,True,True,True
Sancho Coma,True,True,True
Camilo Raposo,True,True,True
Vergez,True,True,True
Caceres,True,False,False
Robson,True,True,True
Robson,True,True,True
Alus,True,True,True
del Bianco,True,False,False
Komanowska,True,True,True
Ortmann,True,True,True
Sellami,True,False,False
Indrecan,True,True,True
Indrecan,True,True,True
Vosca,True,True,True
Abrabar,True,False,False
Brouwer,True,True,True
Crespo,True,True,True
Vennemann,True,True,True
Aryani,True,True,True
Figueroa Iglesias,True,True,True
Jugel,True,True,True
Möhring,True,True,True
Cenci,True,False,False
Elyan,False,False,False
Guercini,True,True,True
Guercini,True,True,True
Singh,True,True,True
Couëron,True,True,True
Karalic,True,True,True
Cahill,True,True,True
M,True,False,False
Allan,True,True,True
Apostoaie,True,True,True
Bogaert,True,True,True
Nickisch,True,True,True
Baran,True,True,True
Chatenet,True,True,True
German,True,True,True
Jacquinet,True,True,True
Grouas,True,True,True
Degimbe,True,True,True
Mousseau,True,False,False
Okfen,True,True,True
Golby,True,True,True
Golby,True,True,True
Guiberteau,True,True,True
Cardona,True,True,True
Howard,True,True,True
Vallauri,True,True,True
Ye Cfa,True,False,False
Ye Cfa,True,False,False
Ye Cfa,True,False,False
Maurin,True,True,True
Aly Raonenantsoamihaja,False,False,False
Rodrigues,False,True,False
Ferrer Petit,False,False,False
Ager,True,True,True
Grundmann,True,True,True
Pcurar,True,False,False
Hollmann,True,True,True
Hoces Fernández,True,True,True
Kuncait,True,False,False
Kuncait,True,False,False
Kokovinos,True,True,True
Cross,True,True,True
Bieber,True,True,True
Bieber,True,True,True
Liudkevi,True,False,False
Przywara,True,True,True
Philipsen,True,True,True
Dent,True,True,True
Chciska,True,False,False
Vicentijevic,True,True,True
Menz,True,True,True
Lechner,True,True,True
Flex,True,True,True
Prica,True,True,True
Lech,True,True,True
Lech,True,True,True
Gargasson,True,True,True
Gargasson,True,True,True
Jaouaher,False,True,False
Saubagnac,True,True,True
Desrousseaux,False,False,False
Benkirane,True,True,True
Lyonnais,True,True,True
Sypniewska,False,True,False
Kowalczyk,True,True,True
Balogh,True,True,True
Varlet,True,False,False
Varlet,True,False,False
Helmert,True,True,True
Helmert,True,True,True
Paproth,True,True,True
Paproth,True,True,True
Gerhardt,True,True,True
Gerhardt,True,True,True
Noirot,True,True,True
Wolfram,True,True,True
Wolfram,True,True,True
Creemers,True,True,True
Ludwig,True,True,True
Wagner,True,True,True
Denurra,True,True,True
Osborne,True,True,True
Jurce,True,True,True
Depouez,True,False,False
Reinhardt,False,False,True
Waters,True,False,False
Lin,True,True,True
Kumar,True,True,True
Kumar,True,True,True
Dugast,True,True,True
Dugast,True,True,True
Corthout,True,True,True
Portell,True,True,True
Herz,True,True,True
Deneut,True,True,True
Calhoum,True,True,True
Calhoum,True,True,True
Polenz,True,True,True
Gölz,True,True,True
Wilzek,True,True,True
Farouk,True,True,True
Kauder,True,True,True
Kauder,True,True,True
Bec,True,False,False
Bec,True,False,False
Vilar Peris,True,True,True
Vilar Peris,True,True,True
Walko,True,True,True
Walko,True,True,True
Meies,True,True,True
Bullivant,True,True,True
Chaboukji,True,True,True
Chaboukji,True,True,True
Chaboukji,True,True,True
Chaboukji,True,True,True
Reiter,True,True,True
Corella Montoya,False,False,True
Fuller Pmp Mba,True,False,False
Fuller Pmp Mba,True,False,False
Lepenguet Itsoma,False,False,False
Lepenguet Itsoma,False,False,False
Lohse,True,True,True
Oyeossi,False,False,True
Mason,True,True,True
Mason,True,True,True
Hadlow,True,True,True
Balacky,True,True,True
Enders,True,True,True
Enders,True,True,True
Stößel,True,True,True
Bhadoria,True,True,True
Karadzhova,True,True,True
Mcgovern,True,False,False
"Desmaison ",True,False,False
Turkowski,True,True,True
Radovanovic,True,False,False
Frindel,True,True,True
Freitas,True,True,True
Ayllón Solaz,False,False,True
Domrose,True,True,True
Dei Giudici,True,True,True
Plumhoff,True,True,True
Obermaier,True,True,True
Leopold,True,True,True
Lemaire,True,False,False
Linke,True,True,True
Heß,True,True,True
Folgar,True,True,True
Hagel,True,True,True
Rausch,True,True,True
K,True,False,False
Rarmani,True,True,True
Gräfe,True,True,True
Léder,True,True,True
Macher,True,True,True
Macher,True,True,True
Macher,True,True,True
Cabañas Monseco,True,True,True
C,True,False,False
Abad Fernández,True,True,True
Schneider,True,True,True
von Dellemann,True,True,True
Jazat,True,True,True
de Pascali,True,False,False
Gouraud,True,True,True
R,True,False,False
Puest,True,True,True
Bagnall,True,True,True
Flood,True,True,True
Mujica,True,True,True
Kilani,True,True,True
Delle,True,True,True
Harti,True,False,False
Giacominni,True,True,True
Kakad,False,False,True
Rezvani,True,True,True
Newman,True,True,True
Guni,True,True,True
Guni,True,True,True
Martin,True,True,True
Amieiro Becerra,True,True,True
Wolton Citp Mbcs,True,False,False
Ndeli,True,False,False
Duchesne,True,True,True
Delachavonnery,True,True,True
Hamama,True,True,True
Lustig,True,True,True
B,True,False,False
Abid,True,True,True
Holthausen,True,True,True
Keim,True,True,True
Kesternich,True,True,True
Khan,True,True,True
Kontotheodorou,True,True,True
Fusco,False,False,False
Fusco,False,False,False
Alfoneh,True,True,True
Davey,True,True,True
Dodds,True,True,True
Nittka,True,True,True
Patyk,True,True,True
Fritsch,True,True,True
Offermann,True,True,True
Weseler,True,True,True
Griffiths,True,True,True
Zieren,True,True,True
Kuczyski,False,False,False
Rouillard,True,True,True
Rouillard,True,True,True
Koljancic,True,True,True
Titcombe Citp Mbcs,True,False,False
Titcombe Citp Mbcs,True,False,False
Rodriguez,True,True,True
Cullen,True,True,True
Mason,False,False,False
Fisk,True,True,True
Aigner,True,True,True
Petrescu,True,True,True
Anderson,True,True,True
Morlok,True,True,True
Batty,True,True,True
Batty,True,True,True
Batty,True,True,True
Souza,False,False,True
Pabian,True,True,True
Pabian,True,True,True
Pabian,True,True,True
Bogacewicz,True,True,True
Bogacewicz,True,True,True
Bogacewicz,True,True,True
Harper,True,True,True
Rodrigues,False,True,False
Barrio,True,True,True
Cimadevilla,True,True,True
Woidt,True,True,True
Ley,True,True,True
Ramírez García,True,True,True
Mochón,True,True,True
Wagner,True,True,True
Lemos,True,True,True
Krebbers,True,True,True
Kmita,True,True,True
Zechel,True,True,True
Rozbicki,True,True,True
Neila Peinado,True,True,True
Jansen,True,True,True
Halbmann,True,True,True
Walter,True,True,True
Turow,False,False,False
Bruno,False,False,True
Heurtaut,True,False,False
Eyben,True,True,True
Eyben,True,True,True
Rompf,True,True,True
Rostker,True,True,True
Rostker,True,True,True
Walser,True,True,True
Böttcher,True,True,True
R,True,False,False
Dahmen,True,True,True
Tesici,True,False,False
Rudolph,True,True,True
Zoche,True,True,True
M,True,False,False
Weavers,True,True,True
Weavers,True,True,True
Winterhalter,True,True,True
Paetzold,True,True,True
Lewandowski,True,True,True
Lokuge,True,True,True
Lokuge,True,True,True
Jackson,True,True,True
Janusaite,True,True,True
White,True,True,True
Gibbon,True,True,True
Seidel,True,True,True
Nibbe,True,True,True
Henritzi,True,True,True
Louvard,True,False,False
Raguotis,False,False,False
Raguotis,False,False,False
Seguier-Chabbert,True,False,False
Furtado,False,False,False
Duarte da Cruz,True,True,True
Pawar,True,True,True
Moreno,True,True,True
Behrens,True,True,True
D,True,False,False
Jaladanki,True,True,True
Mavrepis,True,True,True
Beazley,True,True,True
Batiaev,True,True,True
Sakharov,True,True,True
Vahle,True,True,True
Slawinski,True,True,True
Matelski,True,True,True
Matelski,True,True,True
Mohammed,True,True,True
Holeisen,True,True,True
Schulte,True,True,True
Reynaud,True,True,True
Reynaud,True,True,True
Emminger,True,True,True
Cernadas,True,True,True
Vidal,True,True,True
Rocha dos Santos,True,True,True
Rocha dos Santos,True,True,True
Rocha dos Santos,True,True,True
Kadane,True,True,True
Rocha,True,True,True
Miller,True,True,True
Rugeroni,True,True,True
Rugeroni,True,True,True
Durflinger Mba,True,False,False
Silva,True,True,True
"Teixeira da Mota ",True,False,False
Fank,True,True,True
Pereira Coutinho,True,True,True
Trigo,True,True,True
A,True,False,False
Freitas,True,True,True
Sendas,True,True,True
M,True,False,False
Oliveira,True,True,True
Campos,True,True,True
Campos,True,True,True
Campos,True,True,True
Campos,True,True,True
Catarina,True,True,True
Mesquita,True,True,True
Mesquita,True,True,True
Quinteiros,False,False,True
Figueiredo,True,True,True
Pires,True,True,True
Brunet,True,True,True
Escudero,True,True,True
Verschueren,True,True,True
Alvarez,True,True,True
Tipa,True,True,True
Tipa,True,True,True
Blanco Guerrero,True,True,True
Esteve Martinez,True,True,True
Lopez,False,True,False
Lopez,False,True,False
Lopez,False,True,False
Valverde,True,True,True
García Sevilla,True,True,True
Pugatchev,True,True,True
Mangal,True,True,True
Pastor Bellvis,True,True,True
López Ramos,True,True,True
Filipov,True,True,True
Eraly,True,True,True
Ruano Martín,True,True,True
Cascallana,True,True,True
Kosonen,True,True,True
Roig,True,True,True
Sagrado,True,True,True
Batán Suárez,True,True,True
Garcia,True,True,True
Coy Pérez,False,True,False
Gallegos Gelabert,True,True,True
Szumiela,True,True,True
Fuentespina,True,True,True
Rodríguez,False,False,False
Alarcon,True,True,True
Alarcon,True,True,True
Vázquez Pérez,True,True,True
Ortega Juste,True,True,True
Calleja Requena,True,True,True
Spinello,True,True,True
Montero Puñales,True,True,True
Montero Puñales,True,True,True
Mata,True,True,True
García Cordón,True,True,True
Bergamali,True,True,True
Salazar,True,True,True
Calzaverini,True,True,True
Arévalo González,True,True,True
Pachas Cuba,False,False,True
Castel,True,True,True
Caras Esteban,True,True,True
Suárez,True,True,True
Suárez,True,True,True
Calleja,True,True,True
Calleja,True,True,True
Barba,True,True,True
Barba,True,True,True
Pérez Abril,True,True,True
García Casilda,True,True,True
Gil,True,True,True
Company,True,True,True
Galante,True,True,True
Hidalgo Navarrete,True,True,True
Pereira,True,True,True
Pereira,True,True,True
Figueiredo,True,True,True
Bonilla Corral,True,True,True
Bonilla Corral,True,True,True
Valentim,True,True,True
Valentim,True,True,True
Azevedo,True,True,True
São João,True,True,True
Teixeira,True,True,True
Sousa,True,True,True
Peláez,True,True,True
Marques,True,True,True
Klymenko,True,True,True
M,True,False,False
Lungu,True,True,True
Serrano,False,False,False
Moreira,True,True,True
Villegas Carstensen,True,True,True
Lopes,True,True,True
Garcia,True,True,True
Carvalho,True,True,True
Sousa,True,True,True
Generoso,True,True,True
Castelhano,True,True,True
Martins,True,True,True
Martins,True,True,True
Chitas,True,True,True
Monteiro,False,True,False
Gaspar,True,True,True
Rego,True,True,True
Cabral,True,True,True
Cabral,True,True,True
Filipe,True,True,True
Gomes,True,True,True
Ferreira,True,True,True
C,True,False,False
Tomé,True,True,True
Rosa Carvalho,True,True,True
