Classificação_empresa,Classificação_empresa_Ordinal
Muito Grande,4
Grande,3
Muito Grande,4
Grande,3
Grande,3
Grande,3
Grande,3
Muito Grande,4
Pequena,1
Pequena,1
Grande,3
Média,2
Enorme,5
Pequena,1
Grande,3
Grande,3
Grande,3
Média,2
Enterprise,6
Grande,3
Grande,3
Pequena,1
Enorme,5
Enorme,5
Enorme,5
Média,2
Média,2
Grande,3
Grande,3
Média,2
Enorme,5
Grande,3
Grande,3
Grande,3
Enterprise,6
Grande,3
Enterprise,6
Enterprise,6
Muito Grande,4
Grande,3
Muito Grande,4
Muito Grande,4
Média,2
Média,2
Muito Grande,4
Muito Grande,4
Muito Grande,4
Enterprise,6
Enterprise,6
Grande,3
Enorme,5
Enorme,5
Média,2
Grande,3
Grande,3
Grande,3
Grande,3
Pequena,1
Média,2
Grande,3
Muito Grande,4
Muito Grande,4
Média,2
Enterprise,6
Muito Grande,4
Grande,3
Muito Grande,4
Enterprise,6
Enorme,5
Muito Grande,4
Média,2
Média,2
Grande,3
Enterprise,6
Grande,3
Enorme,5
Enterprise,6
Média,2
Média,2
Média,2
Média,2
Média,2
Pequena,1
Pequena,1
Grande,3
Grande,3
Grande,3
Pequena,1
Pequena,1
Enterprise,6
Enterprise,6
Enterprise,6
Enterprise,6
Enterprise,6
Enterprise,6
Enterprise,6
Enorme,5
Média,2
Enterprise,6
Média,2
Média,2
Enterprise,6
Muito Grande,4
Muito Grande,4
Muito Grande,4
Muito Grande,4
Grande,3
Grande,3
Pequena,1
Enterprise,6
Enterprise,6
Média,2
Pequena,1
Enterprise,6
Muito Grande,4
Muito Grande,4
Muito Grande,4
Enterprise,6
Enterprise,6
Grande,3
Muito Grande,4
Enorme,5
Grande,3
Grande,3
Média,2
Média,2
Grande,3
Grande,3
Grande,3
Pequena,1
Pequena,1
Grande,3
Grande,3
Muito Grande,4
Pequena,1
Enterprise,6
Grande,3
Grande,3
Enterprise,6
Enterprise,6
Enterprise,6
Enterprise,6
Enterprise,6
Enterprise,6
Muito Grande,4
Grande,3
Enorme,5
Média,2
Pequena,1
Enterprise,6
Enterprise,6
Muito Grande,4
Enorme,5
Grande,3
Grande,3
Grande,3
Enterprise,6
Enterprise,6
Enterprise,6
Grande,3
Grande,3
Muito Grande,4
Média,2
Pequena,1
Pequena,1
Média,2
Média,2
Média,2
Grande,3
Grande,3
Grande,3
Pequena,1
Pequena,1
Enorme,5
Grande,3
Grande,3
Pequena,1
Pequena,1
Média,2
Enterprise,6
Enterprise,6
Grande,3
Enorme,5
Muito Grande,4
Grande,3
Média,2
Pequena,1
Enterprise,6
Enterprise,6
Muito Grande,4
Média,2
Média,2
Enterprise,6
Muito Grande,4
Enorme,5
Enorme,5
Muito Grande,4
Muito Grande,4
Grande,3
Grande,3
Grande,3
Grande,3
Enorme,5
Pequena,1
Média,2
Média,2
Grande,3
Média,2
Média,2
Média,2
Média,2
Média,2
Média,2
Média,2
Média,2
Enterprise,6
Grande,3
Média,2
Grande,3
Média,2
Média,2
Enorme,5
Enorme,5
Pequena,1
Grande,3
Enterprise,6
Enterprise,6
Enterprise,6
Enterprise,6
Enterprise,6
Pequena,1
Pequena,1
Pequena,1
Grande,3
Grande,3
Grande,3
Grande,3
Grande,3
Grande,3
Grande,3
Grande,3
Grande,3
Enterprise,6
Grande,3
Grande,3
Enterprise,6
Enterprise,6
Enterprise,6
Enorme,5
Enterprise,6
Média,2
Média,2
Grande,3
Enterprise,6
Enterprise,6
Enterprise,6
Enterprise,6
Enterprise,6
Grande,3
Média,2
Enterprise,6
Grande,3
Média,2
Pequena,1
Enterprise,6
Enterprise,6
Grande,3
Enterprise,6
Enorme,5
Enterprise,6
Média,2
Média,2
Média,2
Média,2
Média,2
Enterprise,6
Enterprise,6
Média,2
Pequena,1
Enterprise,6
Enterprise,6
Enterprise,6
Grande,3
Pequena,1
Grande,3
Muito Grande,4
Muito Grande,4
Enterprise,6
Enterprise,6
Enterprise,6
Enterprise,6
Enorme,5
Enterprise,6
Média,2
Enterprise,6
Grande,3
Grande,3
Fora da Faixa,0
Média,2
Enterprise,6
Muito Grande,4
Média,2
Média,2
Média,2
Enterprise,6
Enterprise,6
Enterprise,6
Média,2
Enterprise,6
Média,2
Média,2
Enterprise,6
Enterprise,6
Enterprise,6
Média,2
Grande,3
Média,2
Enorme,5
Enorme,5
Média,2
Enterprise,6
Média,2
Média,2
Grande,3
Enorme,5
Enterprise,6
Enterprise,6
Enterprise,6
Enterprise,6
Grande,3
Enorme,5
Enterprise,6
Enterprise,6
Média,2
Média,2
Média,2
Média,2
Enterprise,6
Enterprise,6
Muito Grande,4
Média,2
Grande,3
Grande,3
Grande,3
Média,2
Grande,3
Média,2
Média,2
Grande,3
Grande,3
Enorme,5
Enterprise,6
Enterprise,6
Enterprise,6
Enterprise,6
Pequena,1
Pequena,1
Média,2
Grande,3
Média,2
Média,2
Grande,3
Grande,3
Grande,3
Média,2
Média,2
Grande,3
Grande,3
Média,2
Grande,3
Fora da Faixa,0
Fora da Faixa,0
Muito Grande,4
Muito Grande,4
Grande,3
Grande,3
Enterprise,6
Enterprise,6
Grande,3
Enterprise,6
Enterprise,6
Média,2
Enterprise,6
Enterprise,6
Enterprise,6
Enterprise,6
Muito Grande,4
Grande,3
Enorme,5
Média,2
Grande,3
Enterprise,6
Enterprise,6
Grande,3
Média,2
Enterprise,6
Média,2
Enterprise,6
Enterprise,6
Média,2
Média,2
Enterprise,6
Grande,3
Grande,3
Grande,3
Muito Grande,4
Muito Grande,4
Muito Grande,4
Enorme,5
Pequena,1
Média,2
Enterprise,6
Média,2
Enorme,5
Grande,3
Enterprise,6
Média,2
Grande,3
Enterprise,6
Muito Grande,4
Muito Grande,4
Enorme,5
Fora da Faixa,0
Enterprise,6
Pequena,1
Enterprise,6
Enterprise,6
Enterprise,6
Enterprise,6
Enterprise,6
Enterprise,6
Muito Grande,4
Fora da Faixa,0
Grande,3
Grande,3
Grande,3
Grande,3
Grande,3
Grande,3
Enorme,5
Grande,3
Grande,3
Grande,3
Grande,3
Pequena,1
Média,2
Muito Grande,4
Média,2
Enterprise,6
Enterprise,6
Média,2
Grande,3
Grande,3
Grande,3
Grande,3
Grande,3
Muito Grande,4
Grande,3
Enorme,5
Muito Grande,4
Muito Grande,4
Muito Grande,4
Enterprise,6
Enterprise,6
Enorme,5
Enterprise,6
Enterprise,6
Média,2
Enterprise,6
Enterprise,6
Grande,3
Fora da Faixa,0
Pequena,1
Grande,3
Enorme,5
Enterprise,6
Enterprise,6
Grande,3
Grande,3
Enorme,5
Enterprise,6
Enorme,5
Enterprise,6
Média,2
Enterprise,6
Enterprise,6
Enterprise,6
Enterprise,6
Enterprise,6
Enterprise,6
Enterprise,6
Enorme,5
Enterprise,6
Grande,3
Grande,3
Muito Grande,4
Muito Grande,4
Muito Grande,4
Média,2
Grande,3
Média,2
Grande,3
Enterprise,6
Grande,3
Enorme,5
Enterprise,6
Grande,3
Média,2
Enterprise,6
Média,2
Grande,3
Grande,3
Muito Grande,4
Grande,3
Grande,3
Enterprise,6
Pequena,1
Grande,3
Média,2
Média,2
Enterprise,6
Grande,3
Enterprise,6
Grande,3
Pequena,1
Grande,3
Muito Grande,4
Média,2
Média,2
Enorme,5
Muito Grande,4
Enorme,5
Enterprise,6
Enterprise,6
Grande,3
Enterprise,6
Grande,3
Pequena,1
Pequena,1
Grande,3
Grande,3
Grande,3
Média,2
Enorme,5
Enterprise,6
Média,2
Média,2
Muito Grande,4
Grande,3
Média,2
Grande,3
Média,2
Média,2
Muito Grande,4
Enterprise,6
Enorme,5
Grande,3
Pequena,1
Média,2
Pequena,1
Média,2
Grande,3
Média,2
Muito Grande,4
Enterprise,6
Grande,3
Enorme,5
Grande,3
Grande,3
Grande,3
Enorme,5
Média,2
Grande,3
Enterprise,6
Grande,3
Enterprise,6
Enterprise,6
Enterprise,6
Enterprise,6
Enterprise,6
Muito Grande,4
Enterprise,6
Enterprise,6
Enterprise,6
Enterprise,6
Enterprise,6
Enterprise,6
Grande,3
Enterprise,6
Grande,3
Média,2
Enterprise,6
Média,2
Média,2
Grande,3
Enorme,5
Enorme,5
Grande,3
Muito Grande,4
Enterprise,6
Muito Grande,4
Média,2
Grande,3
Enterprise,6
Enterprise,6
Média,2
Média,2
Grande,3
Enterprise,6
Média,2
Enterprise,6
Média,2
Enterprise,6
Pequena,1
Média,2
Média,2
Enterprise,6
Média,2
Grande,3
Muito Grande,4
Grande,3
Grande,3
Grande,3
Grande,3
Grande,3
Grande,3
Enterprise,6
Enorme,5
Pequena,1
Enorme,5
Muito Grande,4
Enterprise,6
Muito Grande,4
Muito Grande,4
Enterprise,6
Muito Grande,4
Grande,3
Grande,3
Média,2
Média,2
Média,2
Pequena,1
Média,2
Enterprise,6
Média,2
Média,2
Enterprise,6
Grande,3
Grande,3
Grande,3
Enorme,5
Enorme,5
Pequena,1
Muito Grande,4
Grande,3
Muito Grande,4
Pequena,1
Grande,3
Muito Grande,4
Média,2
Média,2
Pequena,1
Média,2
Média,2
Média,2
Média,2
Muito Grande,4
Muito Grande,4
Grande,3
Muito Grande,4
Muito Grande,4
Média,2
Grande,3
Enorme,5
Enterprise,6
Grande,3
Média,2
Grande,3
Grande,3
Enterprise,6
Muito Grande,4
Média,2
Média,2
Grande,3
Grande,3
Muito Grande,4
Muito Grande,4
Grande,3
Grande,3
Enorme,5
Enorme,5
Pequena,1
Grande,3
Muito Grande,4
Enterprise,6
Enterprise,6
Média,2
Muito Grande,4
Muito Grande,4
Média,2
Média,2
Grande,3
Grande,3
Grande,3
Grande,3
Média,2
Média,2
Média,2
Média,2
Grande,3
Média,2
Enterprise,6
Enterprise,6
Média,2
Média,2
Grande,3
Grande,3
Grande,3
Grande,3
Grande,3
Média,2
Grande,3
Grande,3
Muito Grande,4
Pequena,1
Muito Grande,4
Grande,3
Pequena,1
Média,2
Média,2
Grande,3
Média,2
Grande,3
Muito Grande,4
Grande,3
Muito Grande,4
Muito Grande,4
Grande,3
Média,2
Média,2
Grande,3
Grande,3
Média,2
Média,2
Muito Grande,4
Enorme,5
Média,2
Enterprise,6
Enterprise,6
Enterprise,6
Enterprise,6
Média,2
Grande,3
Enterprise,6
Grande,3
Enterprise,6
Média,2
Pequena,1
Pequena,1
Média,2
Enterprise,6
Muito Grande,4
Grande,3
Média,2
Fora da Faixa,0
Enterprise,6
Grande,3
Pequena,1
Enorme,5
Média,2
Grande,3
Enorme,5
Enorme,5
Média,2
Pequena,1
Muito Grande,4
Média,2
Média,2
Média,2
Média,2
Enorme,5
Pequena,1
Muito Grande,4
Muito Grande,4
Muito Grande,4
Média,2
Muito Grande,4
Grande,3
Enorme,5
Enorme,5
Enterprise,6
Média,2
Média,2
Enterprise,6
Muito Grande,4
Grande,3
Grande,3
Muito Grande,4
Grande,3
Muito Grande,4
Enorme,5
Grande,3
Grande,3
Média,2
Muito Grande,4
Muito Grande,4
Muito Grande,4
Fora da Faixa,0
Muito Grande,4
Muito Grande,4
Muito Grande,4
Média,2
Enorme,5
Média,2
Pequena,1
Pequena,1
Pequena,1
Grande,3
Muito Grande,4
Muito Grande,4
Muito Grande,4
Grande,3
Grande,3
Grande,3
Média,2
Média,2
Pequena,1
Média,2
Média,2
Grande,3
Enterprise,6
Grande,3
Grande,3
Grande,3
Muito Grande,4
Grande,3
Grande,3
Média,2
Muito Grande,4
Média,2
Grande,3
Média,2
Pequena,1
Média,2
Muito Grande,4
Grande,3
Grande,3
Enorme,5
Pequena,1
Fora da Faixa,0
Pequena,1
Pequena,1
Média,2
Grande,3
Pequena,1
Muito Grande,4
Grande,3
Enorme,5
Grande,3
Grande,3
Muito Grande,4
Média,2
Enorme,5
Muito Grande,4
Muito Grande,4
Grande,3
Grande,3
Grande,3
Grande,3
Grande,3
Grande,3
Muito Grande,4
Média,2
Enterprise,6
Enterprise,6
Grande,3
Média,2
Enorme,5
Enterprise,6
Média,2
Média,2
Grande,3
Enorme,5
Média,2
Muito Grande,4
Média,2
Grande,3
Grande,3
Grande,3
Enterprise,6
Enterprise,6
Grande,3
Muito Grande,4
Muito Grande,4
Muito Grande,4
Muito Grande,4
Pequena,1
Muito Grande,4
Média,2
Média,2
Média,2
Grande,3
Enorme,5
Enterprise,6
Enterprise,6
Fora da Faixa,0
Pequena,1
Enorme,5
Enterprise,6
Enorme,5
Grande,3
Enterprise,6
Pequena,1
Grande,3
Grande,3
Enterprise,6
Grande,3
Muito Grande,4
Muito Grande,4
Muito Grande,4
Muito Grande,4
Muito Grande,4
Fora da Faixa,0
Pequena,1
Média,2
Muito Grande,4
Média,2
Média,2
Pequena,1
Enterprise,6
Enterprise,6
Fora da Faixa,0
Enorme,5
Enorme,5
Muito Grande,4
Muito Grande,4
Grande,3
Grande,3
Grande,3
Muito Grande,4
Muito Grande,4
Enterprise,6
Enterprise,6
Muito Grande,4
Muito Grande,4
Enterprise,6
Enterprise,6
Grande,3
Enterprise,6
Enterprise,6
Grande,3
Média,2
Grande,3
Média,2
Grande,3
Grande,3
Enterprise,6
Enterprise,6
Grande,3
Grande,3
Grande,3
Enterprise,6
Enterprise,6
Enterprise,6
Enterprise,6
Grande,3
Grande,3
Média,2
Muito Grande,4
Enterprise,6
Média,2
Média,2
Grande,3
Muito Grande,4
Grande,3
Muito Grande,4
Grande,3
Grande,3
Grande,3
Grande,3
Grande,3
Grande,3
Média,2
Grande,3
Muito Grande,4
Enterprise,6
Média,2
Pequena,1
Média,2
Média,2
Pequena,1
Enorme,5
Enorme,5
Pequena,1
Pequena,1
Grande,3
Muito Grande,4
Muito Grande,4
Grande,3
Pequena,1
Fora da Faixa,0
Média,2
Enorme,5
Pequena,1
Pequena,1
Pequena,1
Pequena,1
Fora da Faixa,0
Média,2
Média,2
Média,2
Pequena,1
Pequena,1
Grande,3
Grande,3
Grande,3
Média,2
Grande,3
Grande,3
Média,2
Média,2
Média,2
Média,2
Média,2
Pequena,1
Grande,3
Pequena,1
